id;latitude;longitude;nom_batiment;photo_principale;photo_principale_content_type;photo_principale_legende;photo_principale_description;photo_1;photo_1_content_type;photo_1_legende;photo_1_description;photo_2;photo_2_content_type;photo_2_legende;photo_2_description;photo_3;photo_3_content_type;photo_3_legende;photo_3_description;photo_4;photo_4_content_type;photo_4_legende;photo_4_description;photo_5;photo_5_content_type;photo_5_legende;photo_5_description;usage_batiment;usage_batiment_infos;cout;surface_plancher;niveaux;travaux_neuf;travaux_extension;travaux_renov;travaux_ite;travaux_iti;construction_debut;construction_fin;bottes_taille;bottes_taille_infos;bottes_densite;bottes_cereale;distance_appro;autoconstruction;participatif;struct_compl;struct_compl_nature;struct_compl_infos;long_max_sans_mur_refend;note_calcul;nbr_rang_de_bottes;integ_baie;integ_baie_infos;support_ancrage;support_ancrage_infos;revet_int;revet_int_infos;revet_ext;revet_ext_infos;maitre_d_ouvrage;maitre_d_oeuvre;architecte;bureau_d_etude_structure;bureau_control;entreprise_bottes;entreprise_charpente;entreprise_enduits;description_projet;difficultees;astuces;divers;contact_nom;contact_mail;contact_phone;code_postal;profil_public;conditions_acceptees;created_date;last_modified_date;created_by_id
1;0;-57;indexing;../fake-data/blob/hipster.png;image/png;Wooden Technicien;maximized Incredible Ingenieur;../fake-data/blob/hipster.png;image/png;compressing Administrateur;evolve;../fake-data/blob/hipster.png;image/png;digital one-to-one;ivory lime;../fake-data/blob/hipster.png;image/png;Plastic client-server conglome;Configurable infomediaries;../fake-data/blob/hipster.png;image/png;Progressive Gloves;Handcrafted;../fake-data/blob/hipster.png;image/png;Berkshire content Card;b Future-proofed;LOGEMENT_INDIVIDUEL_GROUPE;../fake-data/blob/hipster.txt;40926;64882;68408;false;false;false;false;true;2021-11-11;2021-11-11;T_70_X_120_X_230_CM;../fake-data/blob/hipster.txt;4794;AUTRE;19265;NON;NON;true;BETON_ARME;../fake-data/blob/hipster.txt;49060;true;45572;AUTRE;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;PLAQUE_DE_PLATRE;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;Poitou-Charentes TCP;Naira c c;Polarised;FTP;Towels Investment a;payment Towels;Madagascar;Garden Customizable compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mission-critical Plastic;Small c bandwidth;vertical Tala Berkshire;Operat;false;true;2021-11-11T19:41:40;2021-11-11T19:44:22;1
2;-27;-80;enterprise Limousin c;../fake-data/blob/hipster.png;image/png;salmon;Frozen neutral;../fake-data/blob/hipster.png;image/png;primary;withdrawal Sleek Total;../fake-data/blob/hipster.png;image/png;b engage;Serbie FTP directional;../fake-data/blob/hipster.png;image/png;Laffitte;redefine neural a;../fake-data/blob/hipster.png;image/png;Industrial;Chips Books calculating;../fake-data/blob/hipster.png;image/png;Cambridgeshire;Fresh bus;AUTRE;../fake-data/blob/hipster.txt;5456;14514;23883;false;true;true;false;false;2021-11-11;2021-11-11;T_50_X_80_X_110_a_200_CM;../fake-data/blob/hipster.txt;39050;RIZ;22495;NON;PARTIEL;true;METAL;../fake-data/blob/hipster.txt;29367;false;92657;AUTRE;../fake-data/blob/hipster.txt;BETON_ARME;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;ENDUIT_CHAUX;../fake-data/blob/hipster.txt;Credit SCSI superstructure;blue;payment Franc compressing;Incredible Salad Gorgeous;Manager Fantastic;1080p logistical Cambridgeshire;AGP;Fantastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Rupee Hat;a Automotive deposit;a Borders c;Soft G;true;true;2021-11-11T13:23:07;2021-11-11T09:41:29;2
3;-85;30;synergize;../fake-data/blob/hipster.png;image/png;sensor Toys gold;Tasty convergence;../fake-data/blob/hipster.png;image/png;Uzbekistan Nord-Pas-de-Calais ;Buckinghamshire Concrete;../fake-data/blob/hipster.png;image/png;withdrawal;Tools open-source paradigm;../fake-data/blob/hipster.png;image/png;Account;Granite Corse;../fake-data/blob/hipster.png;image/png;interface Bacon Kuwaiti;Administrateur Saint-Denis;../fake-data/blob/hipster.png;image/png;la transform;Directeur;AUTRE;../fake-data/blob/hipster.txt;33832;25421;81772;true;false;false;true;true;2021-11-11;2021-11-11;AUTRE;../fake-data/blob/hipster.txt;22094;AUTRE;69431;OUI;PARTIEL;true;MACONNERIE;../fake-data/blob/hipster.txt;13752;true;81755;AUTRE;../fake-data/blob/hipster.txt;MACONNERIE;../fake-data/blob/hipster.txt;ENDUIT_TERRE_ET_CHAUX;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;driver process;Practical Assistant;bandwidth deposit loyalty;Marks Île-de-France Computers;paradigms applications Car;Berkshire Buckinghamshire;Sri Chips;deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Handmade Denar;Operative bypassing synthesizing;Bahreïn;Keyboa;false;true;2021-11-11T18:54:09;2021-11-11T12:42:36;2
4;-44;-58;blue mobile Open-source;../fake-data/blob/hipster.png;image/png;Operative initiative;Consultant Agent;../fake-data/blob/hipster.png;image/png;Avon teal;c methodologies Picardie;../fake-data/blob/hipster.png;image/png;Dollar Pants;relationships magenta Home;../fake-data/blob/hipster.png;image/png;target application Midi-Pyréné;back-end web-enabled Cotton;../fake-data/blob/hipster.png;image/png;world-class;Vaugirard;../fake-data/blob/hipster.png;image/png;c;Designer Lebanese;BATIMENT_ADMINISTRATIF;../fake-data/blob/hipster.txt;32221;33279;27009;false;true;false;true;false;2021-11-11;2021-11-11;T_36_X_46_X_70_a_120_CM;../fake-data/blob/hipster.txt;6939;ORGE;77309;OUI;PARTIEL;false;AUTRE;../fake-data/blob/hipster.txt;19790;false;65552;COULISSANT;../fake-data/blob/hipster.txt;BETON_ARME;../fake-data/blob/hipster.txt;ENDUIT_TERRE_ET_CHAUX;../fake-data/blob/hipster.txt;ENDUIT_TERRE;../fake-data/blob/hipster.txt;portals array Basse-Normandie;deposit Bike Soft;Gorgeous Lanka;connecting access d'Abbeville;d'Azur Bedfordshire;Latvian parse;neutral Health Baby;sticky Intelligent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Towels Mali;Industrial;Money;Car Be;false;false;2021-11-11T16:52:28;2021-11-11T03:49:48;1
5;-36;-35;Agent b;../fake-data/blob/hipster.png;image/png;a payment;Pula Fresh;../fake-data/blob/hipster.png;image/png;Account Bacon;maroon;../fake-data/blob/hipster.png;image/png;payment;Specialiste EXE Account;../fake-data/blob/hipster.png;image/png;Refined Cotton;Steel SMTP;../fake-data/blob/hipster.png;image/png;generating interface;attitude-oriented;../fake-data/blob/hipster.png;image/png;Alsace Investment Somoni;compelling;BATIMENT_EDUCATIF;../fake-data/blob/hipster.txt;72457;20586;15194;false;false;true;false;false;2021-11-11;2021-11-11;AUTRE;../fake-data/blob/hipster.txt;32255;ORGE;14559;OUI;PARTIEL;true;MACONNERIE;../fake-data/blob/hipster.txt;60110;false;71195;PRE_CADRE_FLOTTANT;../fake-data/blob/hipster.txt;BETON_ARME;../fake-data/blob/hipster.txt;ENDUIT_PLATRE;../fake-data/blob/hipster.txt;BARDAGE_VENTILE;../fake-data/blob/hipster.txt;Savings;microchip;alarm;multi-byte purple;virtual deploy;Automated;a;Kids;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;c Centre;array;process Rhône-Alpes Saint-Denis;produc;true;false;2021-11-11T14:20:27;2021-11-11T18:58:02;1
6;-27;65;Buckinghamshire b Chips;../fake-data/blob/hipster.png;image/png;Pound Automated;transparent;../fake-data/blob/hipster.png;image/png;Metical Wooden Steel;algorithm transmit;../fake-data/blob/hipster.png;image/png;Sausages architect;c Bike Bourgogne;../fake-data/blob/hipster.png;image/png;Cambridgeshire;online mobile;../fake-data/blob/hipster.png;image/png;Cambridgeshire matrix bypass;Chicken;../fake-data/blob/hipster.png;image/png;TCP b Bacon;cross-platform input;LOGEMENT_INDIVIDUEL;../fake-data/blob/hipster.txt;97091;83669;11370;false;false;false;true;false;2021-11-11;2021-11-11;T_50_X_80_X_110_a_200_CM;../fake-data/blob/hipster.txt;69242;RIZ;17920;NON;PARTIEL;false;BETON_ARME;../fake-data/blob/hipster.txt;8400;true;57156;PRE_CADRE_FLOTTANT;../fake-data/blob/hipster.txt;BOIS;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;ENDUIT_TERRE_ET_CHAUX;../fake-data/blob/hipster.txt;b Rubber disintermediate;Vaneau;Seamless Granite;USB Mauritanie;payment;alarm;3rd;Movies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Saint;azure synthesize Basse-Normandie;up Plastic Bourgogne;Granit;true;true;2021-11-10T23:41:01;2021-11-11T00:41:31;2
7;-7;-49;Reverse-engineered Secured;../fake-data/blob/hipster.png;image/png;lime heuristic;Dirham;../fake-data/blob/hipster.png;image/png;Ouguiya Handmade clicks-and-mo;Concrete Account;../fake-data/blob/hipster.png;image/png;Gambie;Rubber Lari c;../fake-data/blob/hipster.png;image/png;24/7 Enterprise-wide bandwidth;seize Hat;../fake-data/blob/hipster.png;image/png;compress Music;calculating;../fake-data/blob/hipster.png;image/png;Steel bleeding-edge Tasty;Berkshire fuchsia technologies;BATIMENT_COMMERCIAL;../fake-data/blob/hipster.txt;45340;12382;2070;true;false;false;true;false;2021-11-11;2021-11-11;T_50_X_80_X_110_a_200_CM;../fake-data/blob/hipster.txt;51865;AVOINE;95130;PARTIEL;NON;false;METAL;../fake-data/blob/hipster.txt;6201;false;49929;PRE_CADRE_FLOTTANT;../fake-data/blob/hipster.txt;MACONNERIE;../fake-data/blob/hipster.txt;PLAQUE_DE_PLATRE;../fake-data/blob/hipster.txt;BARDAGE_VENTILE;../fake-data/blob/hipster.txt;salmon;Concrete b PCI;Shirt Buckinghamshire Wooden;orange;FTP 24/365;Health Japon;Champagne-Ardenne target;e-tailers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Chypre open-source;SMS multi-byte Multi-lateral;impactful Account grey;withdr;false;true;2021-11-11T10:52:09;2021-11-11T07:11:18;2
8;-8;-34;c;../fake-data/blob/hipster.png;image/png;program;Berkshire;../fake-data/blob/hipster.png;image/png;synthesizing AGP Generic;Corse monetize strategy;../fake-data/blob/hipster.png;image/png;Saint-Dominique;Saint-Denis;../fake-data/blob/hipster.png;image/png;Berkshire Tuna matrix;olive Metal;../fake-data/blob/hipster.png;image/png;transparent primary;c SSL Haïti;../fake-data/blob/hipster.png;image/png;Iraqi Concrete scale;Account;LOGEMENT_COLLECTIF;../fake-data/blob/hipster.txt;17794;81513;55106;true;true;true;false;false;2021-11-11;2021-11-11;T_50_X_80_X_110_a_200_CM;../fake-data/blob/hipster.txt;88989;ORGE;4271;NON;NON;false;METAL;../fake-data/blob/hipster.txt;71067;true;26750;COULISSANT;../fake-data/blob/hipster.txt;MACONNERIE;../fake-data/blob/hipster.txt;ENDUIT_TERRE_ET_CHAUX;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;Cotton Rustic Nesle;Monitored;Granite;Fresh Concrete;grey deliverables Administrateur;maroon override Personal;copy;overriding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Caumartin;Rustic;c;collab;false;true;2021-11-11T13:33:05;2021-11-11T11:23:19;1
9;34;-83;Metal Cambridgeshire;../fake-data/blob/hipster.png;image/png;Practical Érythrée Computer;bi-directional 24/7 even-keeled;../fake-data/blob/hipster.png;image/png;Wooden copying;payment quantify Limousin;../fake-data/blob/hipster.png;image/png;relationships;Bedfordshire generate;../fake-data/blob/hipster.png;image/png;connect circuit;Rupee Russie;../fake-data/blob/hipster.png;image/png;Frozen Towels Île-de-France;Sleek;../fake-data/blob/hipster.png;image/png;incubate Midi-Pyrénées;maximized Toys Account;BATIMENT_ADMINISTRATIF;../fake-data/blob/hipster.txt;36057;88802;65031;false;true;true;true;false;2021-11-11;2021-11-11;T_50_X_80_X_110_a_200_CM;../fake-data/blob/hipster.txt;67899;RIZ;40126;NON;OUI;true;AUTRE;../fake-data/blob/hipster.txt;35597;true;59716;FIXE;../fake-data/blob/hipster.txt;BETON_ARME;../fake-data/blob/hipster.txt;AUTRE;../fake-data/blob/hipster.txt;BARDAGE_VENTILE;../fake-data/blob/hipster.txt;Account Maroc;c deposit;Guarani one-to-one;back-end rich empower;Stagiaire;Éthiopie Wooden partnerships;THX c;Autriche Dominique Handmade;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sensor Shoes Bedfordshire;Checking Berkshire Technicien;support enhance Small;Practi;false;false;2021-11-11T19:00:54;2021-11-11T10:57:07;1
10;-41;50;Molière orchid Borders;../fake-data/blob/hipster.png;image/png;Sleek Poitou-Charentes;up Compatible;../fake-data/blob/hipster.png;image/png;navigating global a;user-facing;../fake-data/blob/hipster.png;image/png;hub Synergistic;Alsace;../fake-data/blob/hipster.png;image/png;Garden Royale;connecting Gloves Nord-Pas-de-Calais;../fake-data/blob/hipster.png;image/png;Silver Gorgeous leading-edge;Function-based Plastic reboot;../fake-data/blob/hipster.png;image/png;Avon website;deposit;LOGEMENT_INDIVIDUEL_GROUPE;../fake-data/blob/hipster.txt;68718;367;9736;true;false;false;true;true;2021-11-11;2021-11-11;AUTRE;../fake-data/blob/hipster.txt;92837;BLE;35763;PARTIEL;PARTIEL;false;BETON_ARME;../fake-data/blob/hipster.txt;83204;true;24465;COULISSANT;../fake-data/blob/hipster.txt;MACONNERIE;../fake-data/blob/hipster.txt;ENDUIT_PLATRE;../fake-data/blob/hipster.txt;ENDUIT_CHAUX;../fake-data/blob/hipster.txt;array microchip;Keyboard Gloves synthesize;c;Coordinateur Turkish Handmade;Car;sticky Rustic ADP;redundant Shoes;Bahamas;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Berkshire capacitor;back Account;Laffitte;Berksh;true;false;2021-11-11T21:01:23;2021-11-11T05:41:46;1
